nome do filme,data lançamento,gênero,duração (min),origem,receita fim semana abertura,receita noite abertura,orçamento,custo marketing
Mirage,2022-05-04,thriller,112,Índia-WB,15.52,5.68,23.5,7.05
Storm: Afterlight,2015-05-07,action,124,Nigéria-Kano,43.78,18.28,50.79,20.4
Rush,2012-09-06,action,107,Reino Unido-NIR,19.87,9.04,32.85,16.94
Embers 2,2021-11-18,drama,121,Canadá-MB,18.37,5.91,35.19,16.28
Neon 2,2020-06-11,thriller,110,México-JAL,23.55,5.0,29.8,11.08
Rift,2020-11-19,sci-fi,123,Reino Unido-ENG,30.71,9.12,32.35,16.2
Aurora: Reckoning,2023-01-03,fantasy,134,Índia-DL,19.14,5.43,22.52,12.86
Eclipse 4: Reckoning,2025-03-04,sci-fi,136,EUA-PA,67.21,14.3,104.4,56.46
Quantum,2013-08-09,sci-fi,119,Reino Unido-SCT,37.64,14.86,35.69,29.25
Haunt,2014-07-11,horror,106,Brasil-PR,19.09,5.45,19.3,5.63
Neon,2014-04-10,thriller,123,EUA-IL,15.88,5.59,22.72,13.31
Storm 4,2013-12-06,action,120,EUA-NY,47.8,20.0,50.79,18.49
Paws,2015-08-13,animation,96,EUA-TX,36.66,11.96,60.8,29.18
Quantum: Reckoning,2017-10-24,sci-fi,125,Brasil-CE,26.77,8.87,34.65,23.81
Frontier,2022-12-29,western,113,Japão-Aichi,33.55,7.83,83.08,32.62
MegaPik Whisper: Eclipse,2014-03-13,drama,118,EUA-WA,8.33,3.12,15.42,5.3
Whisper: Origins,2020-01-24,drama,97,EUA-CA,4.62,1.88,6.07,2.37
Storm,2022-07-14,action,136,Japão-Osaka,58.75,24.61,55.36,24.85
MegaPik Chronicles 3,2025-04-24,fantasy,118,EUA-NY,31.35,9.97,34.52,14.03
MegaPik Pulse: Origins,2019-11-27,action,122,EUA,85.79,38.29,53.3,35.65
Odyssey 3,2018-06-19,adventure,126,EUA-NY,38.29,15.31,29.97,11.31
Rush: Legacy,2016-02-12,action,121,Índia-MH,44.04,13.17,58.18,33.2
MegaPik Paws,2017-06-19,animation,116,Reino Unido-NIR,35.93,13.14,40.91,15.99
Paws,2021-08-27,animation,82,EUA-LA,18.79,5.31,22.85,9.95
Odyssey: Legacy,2017-03-16,adventure,133,EUA-MA,16.15,4.87,19.79,9.56
Whisper,2019-07-09,drama,125,EUA-WA,12.54,3.82,10.8,3.78
Neon,2013-01-11,thriller,97,EUA-PA,7.83,4.01,24.14,2.76
MegaPik Neon 6: Origins,2017-06-22,thriller,116,Brasil-PE,28.47,13.07,16.32,8.76
MegaPik Whisper: Eclipse,2013-02-22,drama,102,Reino Unido-SCT,8.79,2.16,10.35,3.22
Aurora,2024-04-24,fantasy,120,EUA-NM,14.08,2.53,19.8,7.73
Echo,2016-03-13,drama,110,Coreia do Sul-Gyeonggi,6.86,1.74,9.9,2.48
MegaPik Voyage,2017-10-27,adventure,123,Japão-Kanagawa,24.39,10.39,45.63,13.8
Shadow,2011-07-29,thriller,116,EUA-CA,15.42,4.05,16.31,5.16
Echo,2018-12-27,drama,137,Brasil-BA,9.25,2.34,10.83,3.93
Embers,2014-05-22,drama,98,Brasil,10.31,2.13,5.56,1.6
Paws,2023-03-06,animation,115,Brasil-GO,19.96,7.45,17.89,8.21
Mirage 4,2022-02-10,thriller,109,EUA-MA,13.6,5.34,23.79,8.78
Echo,2016-09-15,drama,149,EUA-IL,5.74,1.47,8.53,3.65
Aurora,2019-08-08,fantasy,127,Índia-TN,25.99,10.56,31.45,16.74
Whisper: Horizons,2025-11-13,drama,137,EUA-NM,2.66,0.77,1.31,0.26
MegaPik Mirage,2014-02-28,thriller,94,EUA-IL,28.02,5.04,26.26,15.47
Mirage,2011-11-26,thriller,106,EUA-PA,10.01,3.14,10.87,5.81
MegaPik Chronicles,2017-03-31,fantasy,135,Reino Unido-ENG,18.75,6.89,19.99,11.89
Haunt,2018-01-26,horror,99,Austrália-WA,16.98,7.18,21.06,7.66
Echo,2023-12-08,drama,100,Índia-KA,19.53,4.82,30.43,8.02
Quantum,2023-05-04,sci-fi,131,Brasil-CE,29.86,10.3,36.34,13.26
Mirage,2025-09-12,thriller,99,Brasil-PB,19.99,6.18,37.34,18.71
Haunt,2021-09-17,horror,90,Brasil-PR,13.73,5.64,30.52,13.54
Embers,2013-06-22,drama,113,EUA-WA,0.94,0.29,0.5,0.2
Odyssey,2012-02-10,adventure,112,Japão,24.48,7.93,35.33,24.13
Rift 2,2022-08-26,sci-fi,110,EUA-WA,26.99,8.53,21.45,13.98
Quantum: Legacy,2011-07-22,sci-fi,135,Brasil-PE,50.54,18.28,43.02,39.28
Rift,2021-03-12,sci-fi,125,EUA-NM,30.33,9.75,24.61,19.53
Shadow 4,2017-08-10,thriller,101,Índia-DL,27.06,9.02,23.92,15.28
Mirage: Revenant,2019-02-21,thriller,115,EUA-CA,12.66,5.26,13.98,6.89
Harmony: Eclipse,2023-05-10,romance,104,EUA,10.38,3.93,28.43,11.2
Pulse,2013-09-19,action,128,EUA-PA,37.45,16.53,47.93,29.82
Pulse,2020-05-26,action,121,EUA-GA,24.69,7.28,33.84,10.66
Echo,2017-12-18,drama,108,Brasil-SC,11.85,3.22,17.27,3.34
Paws,2015-11-06,animation,114,Brasil-AM,17.08,4.49,22.28,9.76
MegaPik Pulse: Reckoning,2020-10-15,action,125,Japão-Kanagawa,50.02,16.48,66.9,36.71
Rush: Origins,2022-02-23,action,113,EUA-LA,25.82,12.45,25.79,14.0
Odyssey: Origins,2022-03-18,adventure,128,EUA-WA,21.54,4.08,20.39,10.28
MegaPik Pulse: Reckoning,2019-06-20,action,134,EUA-GA,27.66,8.11,45.73,20.21
Odyssey: Legacy,2013-05-10,adventure,108,EUA-WA,17.89,6.23,23.12,11.18
Rush 3,2014-10-16,action,112,Japão-Tóquio,32.09,8.95,27.52,14.75
MegaPik Pulse,2019-07-25,action,97,EUA-MA,21.53,7.42,12.01,8.54
Paws 2,2018-10-08,animation,91,EUA-NY,13.04,4.07,12.84,6.21
Storm 5: Origins,2018-09-20,action,136,EUA-GA,125.87,37.49,76.18,67.62
Echo,2020-01-23,drama,93,EUA,10.06,2.79,8.68,3.26
Quantum,2011-01-07,sci-fi,131,México-MEX,16.26,6.13,20.6,10.0
